Finding #,Finding Title,Primary Classification,Disposition Recommendation,Proposed Cluster,Related Findings,Confidence,Short Rationale
1176,Spatial Ground Must Preserve Exact Boundary Interaction for Extents,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#1115, #16, #1177",HIGH,RESTATEMENT. Parent #1115.
1177,Touching and Crossing Must Remain Distinct Where Relevant,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#1115, #1176, #1178",HIGH,New formal distinction (conditional): touching the limit versus crossing it.
1178,Tangency Must Not Be Left to Numerical Guessing,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#358, #1177, #359",HIGH,INSTANCE. Parent #15 via #358: tangent contact. AUTHORITY: exact Survey mathematics.
1179,Spatial Ground Must Preserve Exact Inclusion of Limit Points,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#16, #114, #1180",HIGH,RESTATEMENT. Parent #15 via #16.
1180,Limit Inclusion Must Be Uniformly Interpretable,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#115, #16, #1179",HIGH,RESTATEMENT. Parents #15 and #26 via #115.
1181,Spatial Ground Must Not Create Mixed Boundary Conventions Without Necessity,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#378, #16, #1182",MEDIUM,"Parents #16 and #378. New scope: one inclusion convention along the whole limit, a property of the definition as a whole (""should ... unless necessity"")."
1182,Exceptional Boundary Rules Must Be Explicit,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,"#379, #1181, #28",HIGH,INSTANCE. Parents #27 and #28 via #379: boundary exceptions.
1183,Spatial Ground Must Preserve Boundary Rule Locality,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#1182, #379, #121",HIGH,New failure mode: a local boundary exception altering membership somewhere else.
1184,Spatial Ground Must Support Boundary Proof Cases,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Testing and Adversarial Review,"#193, #636, #1177",HIGH,RESTATEMENT. Parent #193; adds contact and crossing to the cases.
1185,Spatial Ground Must Distinguish Canonical Limit From Measured Approximation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#50, #49, #1186",HIGH,RESTATEMENT. Parent #19 via #49 and #50.
1186,Spatial Ground Must Distinguish Canonical Limit From Survey Refinement Artifact,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#19, #49, #1187",HIGH,Root parent #19 via #49. New failure mode: a stair-step or cell-edge pattern from one implementation taken for the true limit. Bears on reserved #245.
1187,Spatial Ground Must Not Fossilize Early Resolution Artifacts,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#1186, #80, #887",HIGH,RESTATEMENT. Parents #1186 and #80: early-precision artifacts gain no permanent meaning.
1188,Spatial Ground Must Preserve Refinement Compatibility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#246, #244, #1189",HIGH,RESTATEMENT. Parent #244 via #246.
1189,Spatial Ground Must Preserve Place Through Precision Expansion,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#244, #1188, #1190",HIGH,RESTATEMENT. Parent #244. AUTHORITY: FSF.
1190,Precision Expansion Must Not Create New World Membership by Accident,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#244, #15, #254",HIGH,"Root parents #15 and #244, with #254 and #255. New: locations that become representable under deeper refinement take membership from the established definition, never by default. CONSOLIDATION SURVIVOR for the refinement family. States one reading of reserved #245 outright; #245 remains reserved."
1191,Spatial Ground Must Preserve Refinement Determinism,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#26, #1190, #162",HIGH,INSTANCE. Parent #26: newly available finer references.
1192,Spatial Ground Must Not Depend on Maximum Contemporary Precision,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#242, #80, #1193",HIGH,INSTANCE. Parent #80 via #242: the finest precision of 2026. AUTHORITY: any canonical limit is FSF's.
1193,Spatial Ground Must Respect Survey Precision Bounds,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#11, #164, #1194",HIGH,RESTATEMENT. Parents #12 and #13 via #11 and #164. AUTHORITY: FSF.
1194,Ground Precision Cannot Exceed Survey Authority,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#1193, #11, #164",HIGH,RESTATEMENT. Parent #1193.
1195,Spatial Ground Must Preserve Downward Precision Consistency,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#11, #1193, #161",HIGH,RESTATEMENT. Parent #12 via #11.
1196,Spatial Ground Must Preserve Upward Precision Freedom,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Upward Handoff,"#173, #19, #1197",HIGH,"Parents #173 and #19. New scope: higher layers may use finer derived precision, which carries no foundational authority."
1197,Spatial Ground Must Distinguish Derived Interpolation From Canonical Precision,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#49, #1196, #19",HIGH,INSTANCE. Parent #19 via #49: interpolation.
1198,Spatial Ground Must Distinguish Analytic Continuity From Stored Resolution,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#1126, #18, #1199",HIGH,RESTATEMENT. Parent #1126.
1199,Spatial Ground Must Preserve the World Beyond Materialization,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#18, #32, #1127",HIGH,RESTATEMENT. Parents #18 and #4 via #32.
1200,Spatial Ground Must Make Canonical Place Prior to Representation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#283, #441, #1199",HIGH,"RESTATEMENT. Parent #4 via #283 and #441: place first, everything that describes or uses it afterward."
1201,Spatial Ground Must Distinguish Canonical Place From Derived Measurement,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#106, #104, #1205",HIGH,"RESTATEMENT. Parent #58 via #104 and #106, including #106's ""unless explicitly required"" exception clause."
1202,Measurement Results Must Not Become Independent Authority,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#541, #106, #1201",HIGH,INSTANCE. Parent #541: a published area or perimeter figure that disagrees with the definition is the one that yields.
1203,Spatial Ground Must Preserve Measurement Reproducibility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#26, #162, #1201",HIGH,INSTANCE. Parent #26: derived measurements. AUTHORITY: measurement mathematics is FSF's.
1204,Spatial Ground Must Distinguish Exact Measurement From Approximate Measurement,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#49, #63, #1203",HIGH,INSTANCE. Parent #19 via #49 and #63: approximate measurement.
1205,Spatial Ground Must Not Require Measurement Where Membership Suffices,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#104, #58, #1201",HIGH,RESTATEMENT. Parent #58 via #104.
1206,Spatial Ground Must Distinguish Metric From Topological Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Connectedness and Topology,"#96, #1207, #832",MEDIUM,"Parent #96. New distinction: metric facts (distance, area) are a different kind from topological facts (connectivity, inclusion). AUTHORITY: both kinds of mathematics are FSF's."
1207,Spatial Ground Must Distinguish Geometry From Topology,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Connectedness and Topology,"#1206, #96, #25",MEDIUM,Parents #25 and #96. New distinction: the shape that expresses membership and the topological relations that follow from it stay separable.
1208,Spatial Ground Must Not Infer Topology From Appearance,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Connectedness and Topology,"#833, #1054, #96",HIGH,"INSTANCE. Parents #19 and #96 via #833 and #1054: looking connected, compact or hole-free establishes nothing."
1209,Spatial Ground Must Not Infer Geometry From Topological Requirements,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Connectedness and Topology,"#96, #22, #1210",MEDIUM,Parents #96 and #58. New: a topological requirement such as connectedness selects no particular geometric form. Bears on reserved #785.
1210,Spatial Ground Must Preserve Freedom of Exact Form Until Specification,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#298, #1250, #549",HIGH,RESTATEMENT. Parent #298. METHODOLOGICAL: Findings constrain what World-space must satisfy and choose no representation.
1211,Spatial Ground Must Not Select Representation by Familiarity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#693, #695, #1215",HIGH,RESTATEMENT. Parent #695 via #693; lists model families only to deny any of them a head start. METHODOLOGICAL.
1212,Spatial Ground Must Not Select Representation by Rendering Convenience,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #692, #1213",HIGH,INSTANCE. Parent #695: rendering convenience is no selection ground. METHODOLOGICAL.
1213,Spatial Ground Must Not Select Representation by Storage Convenience,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #138, #1212",HIGH,"INSTANCE. Parent #695, with #138: storage convenience. METHODOLOGICAL."
1214,Spatial Ground Must Not Select Representation by Editing Convenience,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #1213, #1215",HIGH,INSTANCE. Parent #695: editing convenience. METHODOLOGICAL.
1215,Spatial Ground Must Not Select Representation by Contemporary Tool Support,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #693, #80",HIGH,INSTANCE. Parent #695 via #693: current tool support. METHODOLOGICAL.
1216,Spatial Ground Must Evaluate Representation Longevity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #81, #145",HIGH,INSTANCE. Parent #695 via #696: selection criterion mirroring #81 (longevity). METHODOLOGICAL.
1217,Spatial Ground Must Evaluate Representation Exactness,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #15, #62",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #15 and #62 (exactness). METHODOLOGICAL.
1218,Spatial Ground Must Evaluate Representation Determinism,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #26, #1256",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #26 (determinism). METHODOLOGICAL.
1219,Spatial Ground Must Evaluate Representation Reconstructability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #10, #1259",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #10 (reconstructability). METHODOLOGICAL.
1220,Spatial Ground Must Evaluate Representation Auditability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #68, #1272",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #68 (auditability). METHODOLOGICAL.
1221,Spatial Ground Must Evaluate Representation Minimality,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #58, #1261",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #58 (minimality). METHODOLOGICAL.
1222,Spatial Ground Must Evaluate Representation Boundary Behavior,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #16, #1181",HIGH,"INSTANCE. Parent #695 via #696: criterion mirroring #16. Its ""exactly and uniformly"" echoes the whole-limit uniformity of #1181. METHODOLOGICAL."
1223,Spatial Ground Must Evaluate Representation Refinement Behavior,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #244, #1190",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #244 and #1190 (coherence as precision deepens). Consistent with #1190's reading; reserved #245 stays reserved. METHODOLOGICAL.
1224,Spatial Ground Must Evaluate Representation Equivalence,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #65, #1295",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #65 (equivalence). METHODOLOGICAL.
1225,Spatial Ground Must Evaluate Representation Portability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #210, #29",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #29 and #210 (portability). METHODOLOGICAL.
1226,Spatial Ground Must Evaluate Representation Conformance Burden,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #947, #70",HIGH,"INSTANCE. Parent #695 via #696: criterion mirroring #70 and #947 (finite, deterministic conformance). METHODOLOGICAL."
1227,Spatial Ground Must Evaluate Representation Failure Modes,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #66, #623",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #66 and #623 (defined invalid states). METHODOLOGICAL.
1228,Spatial Ground Must Evaluate Representation Layer Purity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #20, #1258",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #20 (layer purity). METHODOLOGICAL.
1229,Spatial Ground Must Evaluate Representation Independence From Higher Geometry,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #178, #1279",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #178 (complete before interpretation). METHODOLOGICAL.
1230,Spatial Ground Must Evaluate Representation Independence From Parcel Geometry,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #34, #1280",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #34 (no cadastral geometry needed). METHODOLOGICAL.
1231,Spatial Ground Must Evaluate Representation Independence From Ownership,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #40, #1281",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #40 (no rights records). METHODOLOGICAL.
1232,Spatial Ground Must Evaluate Representation Independence From Runtime,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #446, #1268",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #41 and #446 (no running service). METHODOLOGICAL.
1233,Spatial Ground Must Evaluate Representation Independence From Experience,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #42, #1283",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #42 (no dependence on experience). METHODOLOGICAL.
1234,Spatial Ground Must Evaluate Representation Against the One-World Requirement,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #21, #1270",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #21. AUTHORITY: The Declaration for One World. METHODOLOGICAL.
1235,Spatial Ground Must Evaluate Representation Against Continuity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #22, #826",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #22 and #825-#826 (continuity shown without borrowing from the cadastre or from visuals). AUTHORITY: World continuity is constitutional (#829). METHODOLOGICAL.
1236,Spatial Ground Must Evaluate Representation Against Survey Non-Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#695, #261, #260",HIGH,INSTANCE. Parent #695 via #696: criterion mirroring #261 (Survey / World non-identity even if extents align). Adjacent to reserved #260. METHODOLOGICAL.
